Nombre;Particion;Capacidad;Consumido;Libre;PorcentajeLibre
integrainter07;/boot;1.014;345;669;66
integrainter08;/var/log/audit;3.062;91;2.971;97
integrainter08;/opt;4.086;2.021;2.065;50
integrainter08;/var/log;5.110;1.839;3.271;64
integrainter08;/;8.182;4.778;3.404;41
integrainter08;/tmp;3.062;58;3.004;98
integrainter08;/home;4.086;576;3.510;85
integrainter08;/var;28.662;6.283;22.379;78
integrainter08;/home/jboss;40.942;12.506;28.436;69
integrainter08;/boot;1.014;345;669;66
integrainter09;/var;22.518;4.830;17.688;78
integrainter09;/var/log/audit;3.062;90;2.972;97
integrainter09;/boot;1.014;348;666;65
integrainter09;/;8.182;4.778;3.404;41
integrainter09;/home;4.086;615;3.471;84
integrainter09;/home/jboss;40.942;12.867;28.075;68
integrainter09;/tmp;3.062;58;3.004;98
integrainter09;/var/log;5.110;1.914;3.196;62
integrainter09;/opt;4.086;1.884;2.202;53
integrainter10;/opt;4.086;1.930;2.156;52
integrainter10;/tmp;3.062;58;3.004;98
integrainter10;/home/jboss;40.942;3.019;37.923;92
integrainter10;/home;4.086;1.123;2.963;72
integrainter10;/var/log/audit;3.062;90;2.972;97
integrainter10;/boot;1.014;348;666;65
integrainter10;/;8.182;4.778;3.404;41
integrainter10;/var;22.518;6.641;15.877;70
integrainter10;/var/log;5.110;1.955;3.155;61
integrainter11;/;8.182;4.778;3.404;41
integrainter11;/var;22.518;6.651;15.867;70
integrainter11;/opt;4.086;1.920;2.166;53
integrainter11;/tmp;3.062;58;3.004;98
integrainter11;/boot;1.014;348;666;65
integrainter11;/home/jboss;40.942;3.047;37.895;92
integrainter11;/home;4.086;1.177;2.909;71
integrainter11;/var/log;5.110;1.932;3.178;62
integrainter11;/var/log/audit;3.062;88;2.974;97
integrainter12;/boot;1.014;348;666;65
integrainter12;/;8.182;4.778;3.404;41
integrainter12;/var;22.518;6.650;15.868;70
integrainter12;/home;4.086;642;3.444;84
integrainter12;/tmp;3.062;58;3.004;98
integrainter12;/var/log/audit;3.062;89;2.973;97
integrainter12;/opt;4.086;1.929;2.157;52
integrainter12;/home/jboss;40.942;2.952;37.990;92
integrainter12;/var/log;5.110;1.935;3.175;62
integrainter13;/opt;4.086;1.936;2.150;52
integrainter13;/home;4.086;1.114;2.972;72
integrainter13;/home/jboss;40.942;2.836;38.106;93
integrainter13;/boot;1.014;348;666;65
integrainter13;/var/log/audit;3.062;87;2.975;97
